Team,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS/MINUS,,,
Westchester Knicks,64,39.5,83.9,47,9.9,25.5,38.7,16.4,22.2,74.1,10.3,32.7,43,20.7,15.4,9,4.9,3.7,20.1,19.2,105.2,3.7,,,
Austin Spurs,64,40.8,86.2,47.3,10,27.7,36.2,17.1,21.4,80,11.9,33.1,45.1,21.1,16.3,8.5,6.7,4.7,20.1,19.3,108.7,5,,,
Raptors 905,62,38.1,85.4,44.6,10.4,30.9,33.5,15.6,20.2,77.3,12.9,32.8,45.8,22.2,16.7,9,4.5,5.5,19.9,18.7,102.2,4.9,,,
Rio Grande Valley Vipers,58,44.4,90.4,49.2,11.9,34.5,34.5,19.3,27,71.5,13.6,33.4,46.9,26.3,18.5,10.5,5.9,5.3,21.1,21.2,120.1,2.6,,,
Fort Wayne Mad Ants,58,41.2,86.6,47.6,8.6,24.6,35.2,20.1,25.7,78.3,11.6,31.4,43,21.9,16,10.2,4.6,5.1,18.4,20.2,111.2,2.6,,,
Grand Rapids Drive,58,38.5,85.8,44.9,11.8,32.4,36.3,16.3,20.7,78.6,12.1,34.9,47,21.1,17.2,8.7,5.1,4.7,19.6,18.5,105.1,2.3,,,
Texas Legend,58,44.5,95,46.8,10.6,30.8,34.3,19.1,25.8,74.1,13.8,33.4,47.2,22.8,15.2,9.4,4.5,5.5,19.9,21,118.6,1.7,,,
Reno Bighorns,58,42.8,93.6,45.7,10.8,29.4,36.7,19.6,24.9,78.8,11.8,34.7,46.6,22.4,13.9,9.8,3.9,5.1,21.6,22.2,115.9,3.3,,,
Lakeland Magic,56,38.6,86.4,44.7,10.5,30.1,34.7,17.1,22.2,77.1,11.1,33.2,44.3,20.3,15.1,10,5,4.7,20.4,19,104.8,1.4,,,
Oklahoma City Blue,56,39.8,87.2,45.6,12.7,37.2,34.2,17.6,24.6,71.6,11.6,34.2,45.8,22.1,17.8,8.6,3.9,4.4,18.9,20.7,109.9,1.7,,,
South Bay Lakers,56,43.5,90.6,48,12.9,33.2,38.7,17.8,23.4,75.9,12.2,34.5,46.7,25.7,17,8.7,5.1,5.4,18.5,20.7,117.7,2.7,18.5,20.7,11
Erie BayHawks,56,39.2,86.1,45.5,11,33.2,33.2,17.8,23.6,75.3,11.3,32.5,43.8,24.2,17.8,8.7,6.4,4.6,21,21.4,107.2,0.9,,,
