Team,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS/MINUS
Raptors 905,78,38.9,83,46.9,10.5,27.8,37.6,18.4,24.9,74,12.3,34,46.3,22.2,16.2,8.7,6.3,5.2,21.8,21.9,106.8,8
Oklahoma City Blue,68,38.8,83.4,46.5,10.3,28.2,36.6,18.5,25.7,71.7,10.9,34.6,45.5,21.9,17.4,9,5.4,4.8,19.4,23.1,106.3,4.5
Los Angeles D-Fenders,68,42.3,90.4,46.8,11.5,31.1,36.9,22,28.8,76.5,11.7,34.5,46.2,23.7,14.9,8.5,4.2,4.8,21.9,23.7,118.2,2.6
Rio Grande Valley Vipers,64,43.2,88.8,48.6,10.4,30.9,33.7,23.3,31.1,75,13,33,47,23.4,17.2,10.1,5,4.6,23.4,23.4,120.1,4.8
Santa Cruz Warriors,62,40,87.3,45.8,11.8,31.7,37.3,20.1,27.7,72.6,11,36.6,47.5,22.9,16.3,8.7,6.8,5.4,21.8,22.8,112,3.5
Fort Wayne Mad Ants,60,40.2,87.3,46.1,9.7,27.8,34.8,21.4,26.7,80.4,12.8,31.9,44.7,21.3,15.1,7.5,4.2,4.7,22.8,23.1,111.6,2.3
Sioux Falls Skyforce,58,41.3,90.6,45.6,11.1,31.9,34.7,22,28.2,78.3,10.5,34.6,45.1,22.8,16.1,9.5,5.4,5.3,24.9,24.5,115.7,2.7
Maine Red Claws,58,36.9,82.2,44.9,12.3,34.6,35.4,19.4,24.7,78.6,10.1,34.7,44.8,20.5,17.3,6.5,5.7,4.8,19.4,21.1,105.5,0.4
Canton Charge,58,40.6,87.4,46.5,9.4,25.8,36.5,19.4,26.6,72.9,12.5,31.8,44.4,21.5,16.4,9.8,5.3,4.5,22.5,24.1,110.1,3.3
Delaware 87ers,52,40.6,86.6,46.9,8.7,24.8,35.1,19.3,26.7,72.4,12,33.1,45.1,19.5,16.8,8.1,4.5,5.2,22.4,23,109.2,-0.7
Grand Rapids Drive,52,39.8,88.2,45.1,11.2,30.7,36.7,19.3,26.4,73.1,11.3,33.7,45.1,18.1,13.8,8.8,3.8,4.3,22.1,21.9,110.1,0
Texas Legend,50,43.6,92,47.4,11.2,30.1,37.3,19.2,25.5,75.3,12.1,31.5,43.6,22.8,15.5,10.1,6.3,4.1,22.7,21.4,117.6,1.4
