,Unnamed: 0,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2,2,Atlanta_Hawks,82,240.6,36.5,83.1,0.439,8.8,25.8,0.341,27.7,57.4,0.483,15.4,20.1,0.764,11.6,32.1,43.6,23.5,7.4,4.9,16.1,19.6,97.1
4,4,Chicago_Bulls,82,242.4,37.7,86.7,0.435,6.6,19.6,0.335,31.2,67.1,0.465,15.7,21.0,0.7490000000000001,11.7,31.7,43.4,20.2,7.5,5.4,12.2,21.2,97.8
8,8,Cleveland_Cavaliers,82,241.2,38.1,83.5,0.456,7.7,22.5,0.343,30.3,61.0,0.4970000000000001,14.8,19.9,0.745,10.8,30.3,41.1,24.1,7.8,4.5,13.3,20.5,98.7
9,9,Golden_State_Warriors,82,240.6,37.0,86.4,0.428,7.2,21.4,0.337,29.7,65.0,0.458,18.7,24.5,0.763,11.7,32.8,44.5,21.0,8.3,3.6,16.2,18.8,99.9
6,6,Portland_Trail_Blazers,82,242.1,38.2,86.9,0.439,6.4,18.9,0.338,31.8,67.9,0.468,15.8,20.9,0.758,11.0,33.6,44.6,20.4,8.0,3.6,12.2,18.7,98.6
13,13,Toronto_Raptors,82,242.1,38.0,82.8,0.459,7.7,22.3,0.34600000000000003,30.3,60.5,0.501,17.2,23.5,0.733,11.2,31.2,42.5,22.8,6.9,5.0,14.4,20.3,100.9
10,10,LA_Clippers,82,240.6,36.4,82.3,0.442,8.3,23.9,0.349,28.1,58.4,0.481,19.0,25.7,0.741,10.6,32.3,42.9,23.2,6.7,3.0,14.3,21.5,100.1
11,11,Houston_Rockets,82,241.5,37.7,85.2,0.443,7.4,22.9,0.322,30.3,62.2,0.487,17.7,23.6,0.7509999999999999,11.9,32.0,43.8,21.4,8.9,5.3,16.4,21.1,100.5
2,2,Atlanta_Hawks,82,240.6,36.5,83.1,0.439,8.8,25.8,0.341,27.7,57.4,0.483,15.4,20.1,0.764,11.6,32.1,43.6,23.5,7.4,4.9,16.1,19.6,97.1
4,4,Chicago_Bulls,82,242.4,37.7,86.7,0.435,6.6,19.6,0.335,31.2,67.1,0.465,15.7,21.0,0.7490000000000001,11.7,31.7,43.4,20.2,7.5,5.4,12.2,21.2,97.8
9,9,Golden_State_Warriors,82,240.6,37.0,86.4,0.428,7.2,21.4,0.337,29.7,65.0,0.458,18.7,24.5,0.763,11.7,32.8,44.5,21.0,8.3,3.6,16.2,18.8,99.9
11,11,Houston_Rockets,82,241.5,37.7,85.2,0.443,7.4,22.9,0.322,30.3,62.2,0.487,17.7,23.6,0.7509999999999999,11.9,32.0,43.8,21.4,8.9,5.3,16.4,21.1,100.5
2,2,Atlanta_Hawks,82,240.6,36.5,83.1,0.439,8.8,25.8,0.341,27.7,57.4,0.483,15.4,20.1,0.764,11.6,32.1,43.6,23.5,7.4,4.9,16.1,19.6,97.1
9,9,Golden_State_Warriors,82,240.6,37.0,86.4,0.428,7.2,21.4,0.337,29.7,65.0,0.458,18.7,24.5,0.763,11.7,32.8,44.5,21.0,8.3,3.6,16.2,18.8,99.9
8,8,Cleveland_Cavaliers,82,241.2,38.1,83.5,0.456,7.7,22.5,0.343,30.3,61.0,0.4970000000000001,14.8,19.9,0.745,10.8,30.3,41.1,24.1,7.8,4.5,13.3,20.5,98.7
