,Team,G,MP,FG,FGA,FG%,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Utah_Jazz*,82,240.9,36.3,82.0,0.44299999999999995,8.2,22.9,0.358,28.1,59.1,0.47600000000000003,16.0,20.7,0.769,9.0,31.1,40.2,17.8,7.3,3.8,12.1,20.2,96.8
1,San_Antonio_Spurs*,82,241.5,37.0,83.4,0.44299999999999995,8.1,23.7,0.344,28.8,59.7,0.483,16.0,20.8,0.7709999999999999,9.8,31.7,41.5,21.4,7.5,4.1,14.4,19.8,98.1
2,Memphis_Grizzlies*,82,242.7,34.9,78.8,0.44299999999999995,9.9,28.0,0.354,25.0,50.8,0.49200000000000005,20.2,26.9,0.753,9.3,32.8,42.1,20.1,7.0,5.0,14.3,20.8,100.0
3,Chicago_Bulls*,82,241.2,39.5,86.6,0.456,8.9,25.9,0.345,30.5,60.7,0.503,14.6,19.0,0.77,10.3,32.9,43.2,23.6,7.3,4.6,13.4,18.8,102.4
4,Toronto_Raptors*,82,241.2,37.2,82.9,0.449,9.7,27.3,0.354,27.5,55.6,0.495,18.5,23.8,0.78,10.1,31.9,42.1,21.8,6.7,4.8,14.6,20.3,102.6
5,Milwaukee_Bucks*,82,241.2,38.0,83.0,0.45799999999999996,10.0,28.2,0.353,28.0,54.8,0.512,17.9,23.2,0.7709999999999999,10.3,32.1,42.5,24.1,7.4,4.6,14.7,19.3,103.8
6,Atlanta_Hawks*,82,242.4,38.8,87.3,0.444,10.9,30.5,0.35700000000000004,27.9,56.7,0.491,15.6,20.2,0.772,10.7,33.2,43.9,23.4,9.0,5.2,15.4,21.6,104.0
7,Golden_State_Warriors*,82,241.2,38.8,89.2,0.435,9.0,27.8,0.324,29.8,61.4,0.485,17.7,23.2,0.7609999999999999,11.7,31.8,43.5,22.7,8.6,3.8,15.5,19.4,104.3
8,Los_Angeles_Clippers*,82,240.9,38.6,85.4,0.452,9.2,26.3,0.35,29.4,59.1,0.49700000000000005,18.0,23.4,0.772,10.2,32.9,43.1,23.1,7.0,3.1,13.2,22.4,104.4
9,Indiana_Pacers*,82,242.1,38.0,84.3,0.451,10.4,29.1,0.355,27.6,55.1,0.501,19.0,24.1,0.789,10.7,33.5,44.3,22.3,8.1,5.0,14.9,19.5,105.3
10,Boston_Celtics*,82,240.9,38.6,85.8,0.45,9.0,27.0,0.332,29.7,58.8,0.505,19.1,24.9,0.769,10.8,33.8,44.5,22.6,7.6,5.2,13.9,20.3,105.4
11,Oklahoma_City_Thunder*,82,241.5,39.2,85.3,0.45899999999999996,8.8,24.8,0.35600000000000004,30.4,60.5,0.502,18.6,24.3,0.764,9.1,31.5,40.6,21.4,8.5,5.5,13.8,20.7,105.8
12,Cleveland_Cavaliers*,82,242.4,40.6,88.8,0.45799999999999996,10.4,28.7,0.361,30.3,60.1,0.504,15.5,20.0,0.773,11.0,33.2,44.2,24.7,7.3,4.3,12.6,20.6,107.2
13,Washington_Wizards*,82,242.1,39.7,85.1,0.466,9.9,27.1,0.364,29.8,58.0,0.514,18.2,24.2,0.7509999999999999,10.6,32.5,43.0,22.8,7.4,4.6,15.3,19.8,107.4
14,Portland_Trail_Blazers*,82,243.0,39.2,86.2,0.455,9.3,25.1,0.37,29.9,61.1,0.489,20.8,26.5,0.785,10.1,33.9,44.0,20.6,7.7,5.3,12.8,19.8,108.5
15,Houston_Rockets*,82,241.2,41.2,88.9,0.46299999999999997,10.0,29.1,0.34299999999999997,31.2,59.7,0.522,17.3,22.2,0.778,10.7,33.4,44.1,24.1,8.5,5.0,15.1,20.4,109.6
