,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,WIN%
0,3,Los Angeles Clippers*,82,240.9,39.1,82.5,0.474,8.5,24.0,0.35200000000000004,30.7,58.5,0.525,21.2,29.1,0.73,10.5,32.5,43.0,24.6,8.6,4.8,13.9,21.5,107.9,69.5
1,5,Houston Rockets*,82,241.8,38.0,80.5,0.47200000000000003,9.5,26.6,0.358,28.5,54.0,0.529,22.1,31.1,0.7120000000000001,11.2,34.1,45.3,21.4,7.6,5.6,16.1,20.4,107.7,65.9
2,5,Portland Trail Blazers*,82,242.1,39.1,87.0,0.45,9.4,25.3,0.37200000000000005,29.7,61.7,0.48100000000000004,19.1,23.5,0.815,12.5,34.0,46.4,23.2,5.5,4.7,13.7,19.2,106.7,65.9
3,2,Oklahoma City Thunder*,82,241.5,39.0,82.7,0.47100000000000003,8.1,22.4,0.361,30.9,60.3,0.512,20.2,25.0,0.8059999999999999,10.8,33.9,44.7,21.9,8.3,6.1,15.3,22.7,106.2,72.0
4,1,San Antonio Spurs*,82,240.9,40.6,83.5,0.486,8.5,21.4,0.397,32.0,62.0,0.517,15.7,20.0,0.785,9.3,34.0,43.3,25.2,7.4,5.1,14.4,18.2,105.4,75.6
5,10,Dallas Mavericks*,82,241.8,39.6,83.6,0.474,8.8,22.9,0.384,30.8,60.7,0.508,16.8,21.1,0.795,10.2,30.7,40.9,23.6,8.6,4.3,13.5,20.0,104.8,59.8
6,8,Golden State Warriors*,82,241.8,39.5,85.4,0.462,9.4,24.8,0.38,30.0,60.6,0.496,15.9,21.1,0.753,10.9,34.4,45.3,23.3,7.8,5.0,15.2,21.8,104.3,62.2
7,5,Miami Heat*,82,242.4,38.3,76.5,0.501,8.1,22.3,0.364,30.2,54.2,0.5579999999999999,17.5,23.0,0.76,7.6,29.2,36.9,22.5,8.9,4.5,14.8,19.5,102.2,65.9
8,11,Toronto Raptors*,82,243.4,36.5,81.9,0.445,8.7,23.4,0.37200000000000005,27.8,58.5,0.475,19.6,25.1,0.782,11.4,31.1,42.5,21.2,7.0,4.2,14.1,23.0,101.3,58.5
9,18,Atlanta Hawks*,82,241.8,37.3,81.6,0.45799999999999996,9.4,25.8,0.363,28.0,55.8,0.502,17.0,21.7,0.7809999999999999,8.7,31.3,40.0,24.9,8.3,4.0,15.3,19.2,101.0,46.3
10,14,Washington Wizards*,82,244.6,38.7,84.4,0.45899999999999996,7.9,20.8,0.38,30.9,63.6,0.485,15.3,20.9,0.731,10.8,31.4,42.2,23.3,8.1,4.6,14.7,20.4,100.7,53.7
11,15,Brooklyn Nets*,82,242.4,35.7,77.9,0.45899999999999996,8.6,23.4,0.369,27.1,54.5,0.49700000000000005,18.4,24.4,0.753,8.8,29.4,38.1,20.9,8.6,3.8,14.5,21.7,98.5,53.7
12,16,Charlotte Bobcats*,82,242.7,36.3,82.1,0.442,6.3,17.9,0.35100000000000003,30.0,64.1,0.46799999999999997,18.0,24.4,0.737,9.5,33.2,42.7,21.7,6.1,5.1,12.3,18.2,96.9,52.400000000000006
13,4,Indiana Pacers*,82,241.2,36.0,80.2,0.449,6.7,18.8,0.35700000000000004,29.3,61.4,0.47700000000000004,18.1,23.3,0.779,10.2,34.5,44.7,20.1,6.7,5.4,15.1,20.4,96.7,68.3
14,9,Memphis Grizzlies*,82,241.5,38.1,82.0,0.46399999999999997,4.9,14.0,0.353,33.1,68.0,0.48700000000000004,15.1,20.3,0.741,11.6,30.8,42.4,21.9,7.7,4.6,13.7,19.1,96.1,61.0
15,11,Chicago Bulls*,82,243.0,34.7,80.2,0.43200000000000005,6.2,17.8,0.348,28.5,62.4,0.456,18.1,23.3,0.779,11.4,32.7,44.1,22.7,7.2,5.2,14.9,19.1,93.7,58.5
