,Team,W,L,WIN%,GB,Home,Road,Conf,Div,Streak,L10,WIN_*_100
1,Toronto,59,23,0.72,0,34-7,25-16,40-12,12-4,L1,6-4,72.0
2,Boston,55,27,0.6709999999999999,4,27-14,28-13,33-19,12-4,W1,6-4,67.1
3,Philadelphia,52,30,0.634,7,30-11,22-19,34-18,9-7,W16,10-0,63.4
4,Cleveland,50,32,0.61,9,29-12,21-20,35-17,11-5,L1,7-3,61.0
5,Indiana,48,34,0.585,11,27-14,21-20,32-20,10-6,L1,7-3,58.5
6,Miami,44,38,0.537,15,26-15,18-23,31-21,11-5,W1,5-5,53.7
7,Milwaukee,44,38,0.537,15,25-16,19-22,27-25,6-10,L1,6-4,53.7
8,Washington,43,39,0.524,16,23-18,20-21,28-24,8-8,L1,3-7,52.400000000000006
9,Detroit,39,43,0.47600000000000003,20,25-16,14-27,24-28,9-7,W1,7-3,47.6
10,Charlotte,36,46,0.439,23,21-20,15-26,22-30,11-5,W1,5-5,43.9
11,New York,29,53,0.354,30,19-22,10-31,17-35,6-10,W1,3-7,35.4
12,Brooklyn,28,54,0.341,31,15-26,13-28,19-33,1-15,L1,5-5,34.1
13,Chicago,27,55,0.32899999999999996,32,17-24,10-31,21-31,4-12,L4,3-7,32.9
14,Orlando,25,57,0.305,34,17-24,8-33,15-37,5-11,W1,4-6,30.5
15,Atlanta,24,58,0.293,35,16-25,8-33,12-40,5-11,L1,3-7,29.299999999999997
17,Houston,65,17,0.7929999999999999,0,34-7,31-10,41-11,12-4,L1,7-3,79.3
18,Golden St.,58,24,0.7070000000000001,7,29-12,29-12,34-18,13-3,L1,4-6,70.7
19,Portland,49,33,0.598,16,28-13,21-20,31-21,9-7,W1,5-5,59.8
20,Oklahoma City,48,34,0.585,17,27-14,21-20,28-24,5-11,W3,5-5,58.5
21,Utah,48,34,0.585,17,28-13,20-21,34-18,7-9,L1,7-3,58.5
22,New Orleans,48,34,0.585,17,24-17,24-17,27-25,9-7,W5,6-4,58.5
23,San Antonio,47,35,0.573,18,33-8,14-27,29-23,9-7,L1,5-5,57.3
24,Minnesota,47,35,0.573,18,30-11,17-24,34-18,10-6,W3,6-4,57.3
25,Denver,46,36,0.561,19,31-10,15-26,28-24,9-7,L1,7-3,56.10000000000001
26,L.A. Clippers,42,40,0.512,23,22-19,20-21,24-28,12-4,L4,4-6,51.2
27,L.A. Lakers,35,47,0.42700000000000005,30,20-21,15-26,19-33,6-10,W1,3-7,42.7
28,Sacramento,27,55,0.32899999999999996,38,14-27,13-28,14-38,5-11,W1,4-6,32.9
29,Dallas,24,58,0.293,41,15-26,9-32,14-38,5-11,L4,2-8,29.299999999999997
30,Memphis,22,60,0.268,43,16-25,6-35,18-34,5-11,L2,3-7,26.8
31,Phoenix,21,61,0.256,44,10-31,11-30,15-37,4-12,W1,2-8,25.6
